ID	adj.P.Val	P.Value	t	B	logFC	Gene	SPOT_ID
NFIX	1.36E-01	5.33E-02	-1.962317	-4.6089	-0.24699259	NFIX	
LOC730121	1.36E-01	5.33E-02	-1.96231	-4.60892	-0.02246697	LOC730121	
DEFB116	1.36E-01	5.33E-02	-1.962291	-4.60895	-0.05091239	DEFB116	
HSPC111	1.36E-01	5.33E-02	-1.962053	-4.60939	-0.07923433	HSPC111	
LIPL3	1.36E-01	5.34E-02	1.962041	-4.60941	0.03143323	LIPL3	
HS.545028	1.36E-01	5.34E-02	-1.961946	-4.60959	-0.02956866	HS.545028	
TNRC6B	1.36E-01	5.34E-02	1.961624	-4.61018	0.10876643	TNRC6B	
OCM2	1.36E-01	5.34E-02	-1.961539	-4.61034	-0.02776993	OCM2	
LOC728348	1.36E-01	5.34E-02	1.961489	-4.61043	0.02232111	LOC728348	
FRMPD1	1.36E-01	5.34E-02	-1.96139	-4.61062	-0.09301903	FRMPD1	
SIGLEC10	1.36E-01	5.35E-02	1.961102	-4.61115	0.18294052	SIGLEC10	
FLJ40672	1.36E-01	5.35E-02	1.961013	-4.61131	0.01503818	FLJ40672	
UTP20	1.36E-01	5.35E-02	1.960626	-4.61202	0.01558144	UTP20	
TDH	1.36E-01	5.35E-02	-1.960416	-4.61241	-0.04702808	TDH	
GALT	1.36E-01	5.36E-02	1.960237	-4.61274	0.09921096	GALT	
LOC728510	1.36E-01	5.36E-02	1.960022	-4.61314	0.02139992	LOC728510	
LOC440839	1.36E-01	5.37E-02	-1.959525	-4.61405	-0.02210816	LOC440839	
HS.543063	1.36E-01	5.37E-02	-1.959501	-4.6141	-0.03256672	HS.543063	
MIR498	1.36E-01	5.37E-02	1.95949	-4.61412	0.03174004	MIR498	
SLC26A5	1.36E-01	5.37E-02	1.959154	-4.61474	0.01472717	SLC26A5	
HS.543561	1.36E-01	5.37E-02	1.959105	-4.61483	0.02227111	HS.543561	
HS.534680	1.36E-01	5.37E-02	1.959102	-4.61484	0.12921457	HS.534680	
HS.197700	1.37E-01	5.37E-02	-1.958972	-4.61508	-0.03376832	HS.197700	
HS.121167	1.37E-01	5.37E-02	-1.958748	-4.61549	-0.02078555	HS.121167	
HS.544076	1.37E-01	5.38E-02	1.958662	-4.61565	0.04026266	HS.544076	
C11ORF36	1.37E-01	5.38E-02	1.958643	-4.61568	0.01877161	C11ORF36	
LOC643246	1.37E-01	5.38E-02	1.958363	-4.6162	0.05120678	LOC643246	
MNS1	1.37E-01	5.38E-02	-1.958356	-4.61621	-0.1108457	MNS1	
LOC653324	1.37E-01	5.38E-02	-1.958274	-4.61636	-0.02302935	LOC653324	
UBA3	1.37E-01	5.38E-02	-1.958196	-4.61651	-0.15148991	UBA3	
OSBPL5	1.37E-01	5.39E-02	1.957284	-4.61819	0.10811292	OSBPL5	
LOC441682	1.37E-01	5.39E-02	1.957214	-4.61831	0.02863102	LOC441682	
PDLIM1	1.37E-01	5.39E-02	1.957174	-4.61839	0.19883998	PDLIM1	
LOC652831	1.37E-01	5.39E-02	-1.957041	-4.61863	-0.01979162	LOC652831	
HS.554478	1.37E-01	5.39E-02	-1.957023	-4.61867	-0.05168662	HS.554478	
LOC647868	1.37E-01	5.40E-02	1.957005	-4.6187	0.02156521	LOC647868	
OGFOD2	1.37E-01	5.40E-02	1.957004	-4.6187	0.02235004	OGFOD2	
FLT1	1.37E-01	5.40E-02	1.95686	-4.61897	0.07258	FLT1	
HS.539427	1.37E-01	5.40E-02	1.956641	-4.61937	0.03232795	HS.539427	
ACVRL1	1.37E-01	5.40E-02	1.956582	-4.61948	0.06187515	ACVRL1	
MIF	1.37E-01	5.40E-02	-1.95641	-4.6198	-0.17587844	MIF	
LOC651341	1.37E-01	5.40E-02	1.956236	-4.62012	0.02949172	LOC651341	
LOC100127971	1.37E-01	5.41E-02	-1.956033	-4.62049	-0.17424204	LOC100127971	
NCOA3	1.37E-01	5.41E-02	1.955877	-4.62078	0.0315202	NCOA3	
LOC646568	1.37E-01	5.42E-02	1.955297	-4.62184	0.03717705	LOC646568	
LOC393076	1.37E-01	5.42E-02	1.955277	-4.62188	0.05381128	LOC393076	
PIK3R6	1.37E-01	5.42E-02	1.954945	-4.62249	0.03228008	PIK3R6	
LOC730517	1.37E-01	5.42E-02	-1.954877	-4.62262	-0.05591332	LOC730517	
PEX5L	1.38E-01	5.42E-02	-1.954525	-4.62326	-0.2356398	PEX5L	
C13ORF18	1.38E-01	5.43E-02	-1.95443	-4.62344	-0.06784145	C13ORF18	
HS.287720	1.38E-01	5.43E-02	1.954152	-4.62395	0.03747548	HS.287720	
LOC100134368	1.38E-01	5.43E-02	1.954151	-4.62395	0.04825854	LOC100134368	
MAGEC1	1.38E-01	5.43E-02	1.954066	-4.62411	0.01221652	MAGEC1	
BZRAP1	1.38E-01	5.43E-02	-1.953978	-4.62427	-0.11939354	BZRAP1	
LOC100128244	1.38E-01	5.44E-02	-1.953638	-4.6249	-0.02193412	LOC100128244	
CCT8L1	1.38E-01	5.44E-02	1.9535	-4.62515	0.02370802	CCT8L1	
C3ORF22	1.38E-01	5.44E-02	-1.953492	-4.62517	-0.04524883	C3ORF22	
HS.122994	1.38E-01	5.44E-02	1.95343	-4.62528	0.02938153	HS.122994	
DEXI	1.38E-01	5.44E-02	1.953155	-4.62578	0.15001098	DEXI	
PSMD11	1.38E-01	5.44E-02	1.953052	-4.62597	0.04764595	PSMD11	
UPK3B	1.38E-01	5.45E-02	-1.952808	-4.62642	-0.01442013	UPK3B	
TRIAP1	1.38E-01	5.45E-02	-1.952789	-4.62646	-0.08658043	TRIAP1	
TPST2	1.38E-01	5.45E-02	1.952566	-4.62687	0.15243697	TPST2	
LOC728844	1.38E-01	5.45E-02	1.952384	-4.6272	0.04498505	LOC728844	
MBD3L1	1.38E-01	5.46E-02	-1.952016	-4.62788	-0.02271897	MBD3L1	
STARD7	1.38E-01	5.46E-02	1.952006	-4.6279	0.09550038	STARD7	
LOC100132444	1.38E-01	5.46E-02	1.951546	-4.62874	0.12723937	LOC100132444	
PI4K2B	1.38E-01	5.47E-02	1.951121	-4.62952	0.0291866	PI4K2B	
LOC652288	1.38E-01	5.47E-02	1.951038	-4.62968	0.0204271	LOC652288	
ZNF138	1.38E-01	5.47E-02	-1.951019	-4.62971	-0.05023239	ZNF138	
LOC100133716	1.39E-01	5.48E-02	1.950376	-4.63089	0.05204649	LOC100133716	
TMTC1	1.39E-01	5.48E-02	-1.950203	-4.63121	-0.16853261	TMTC1	
SAMSN1	1.39E-01	5.48E-02	1.950123	-4.63136	0.09060088	SAMSN1	
TPPP3	1.39E-01	5.48E-02	1.949897	-4.63177	0.15405592	TPPP3	
C16ORF47	1.39E-01	5.48E-02	1.949685	-4.63216	0.02454986	C16ORF47	
LITAF	1.39E-01	5.49E-02	1.949471	-4.63255	0.21376142	LITAF	
LOC653635	1.39E-01	5.49E-02	-1.949207	-4.63304	-0.30889664	LOC653635	
LOC729806	1.39E-01	5.49E-02	1.949204	-4.63304	0.05221054	LOC729806	
SURF1	1.39E-01	5.49E-02	1.949193	-4.63306	0.12880782	SURF1	
RAB30	1.39E-01	5.49E-02	1.949134	-4.63317	0.1178356	RAB30	
LOC100131091	1.39E-01	5.49E-02	1.949075	-4.63328	0.02359775	LOC100131091	
MRPL18	1.39E-01	5.49E-02	-1.948937	-4.63353	-0.17666591	MRPL18	
LOC390213	1.39E-01	5.49E-02	-1.948852	-4.63369	-0.02237746	LOC390213	
SECTM1	1.39E-01	5.50E-02	1.948676	-4.63401	0.03699192	SECTM1	
LPXN	1.39E-01	5.50E-02	1.948662	-4.63404	0.11879313	LPXN	
LOC649417	1.39E-01	5.50E-02	1.948583	-4.63418	0.03641442	LOC649417	
KRT2	1.39E-01	5.50E-02	-1.948571	-4.6342	-0.02700327	KRT2	
HS.576633	1.39E-01	5.50E-02	-1.948361	-4.63459	-0.05133566	HS.576633	
LOC653253	1.39E-01	5.50E-02	1.948272	-4.63475	0.03782569	LOC653253	
C2ORF7	1.39E-01	5.50E-02	1.948193	-4.6349	0.10812109	C2ORF7	
GJC2	1.39E-01	5.50E-02	1.948155	-4.63497	0.23886351	GJC2	
LOC100130361	1.39E-01	5.50E-02	-1.948144	-4.63499	-0.03211888	LOC100130361	
ZNF384	1.39E-01	5.50E-02	1.948071	-4.63512	0.04304722	ZNF384	
KIAA1772	1.39E-01	5.50E-02	-1.947991	-4.63527	-0.07059678	KIAA1772	
LOC652471	1.39E-01	5.50E-02	-1.947937	-4.63537	-0.02382198	LOC652471	
LOC653563	1.39E-01	5.51E-02	1.94786	-4.63551	0.03314132	LOC653563	
LOC727833	1.39E-01	5.51E-02	1.947788	-4.63564	0.02486964	LOC727833	
OR5M9	1.39E-01	5.51E-02	-1.947638	-4.63592	-0.02312188	OR5M9	
SNORA66	1.39E-01	5.51E-02	-1.94744	-4.63628	-0.03745753	SNORA66	
PPP2R5E	1.39E-01	5.51E-02	-1.947378	-4.63639	-0.09221308	PPP2R5E	
OR10Q1	1.39E-01	5.51E-02	-1.947373	-4.6364	-0.02604519	OR10Q1	
LOC732447	1.39E-01	5.51E-02	1.947324	-4.63649	0.03137664	LOC732447	
LOC100129969	1.39E-01	5.51E-02	-1.947207	-4.63671	-0.02885104	LOC100129969	
LOC100133591	1.39E-01	5.51E-02	1.947094	-4.63691	0.02150032	LOC100133591	
LOC652870	1.39E-01	5.52E-02	1.946882	-4.6373	0.0237322	LOC652870	
LOC644628	1.39E-01	5.52E-02	-1.946841	-4.63738	-0.02836859	LOC644628	
GRIA4	1.39E-01	5.52E-02	-1.946774	-4.6375	-0.16332492	GRIA4	
FLJ20184	1.39E-01	5.52E-02	1.946487	-4.63803	0.04131128	FLJ20184	
MIR1257	1.40E-01	5.53E-02	1.945901	-4.6391	0.03152621	MIR1257	
LOC387804	1.40E-01	5.53E-02	-1.945854	-4.63919	-0.02192023	LOC387804	
LOC643948	1.40E-01	5.53E-02	1.9458	-4.63929	0.01943749	LOC643948	
GOLGA7	1.40E-01	5.53E-02	-1.945655	-4.63955	-0.02002978	GOLGA7	
ARL2	1.40E-01	5.54E-02	1.945387	-4.64004	0.17661048	ARL2	
KIAA1875	1.40E-01	5.54E-02	1.945356	-4.6401	0.17545147	KIAA1875	
CCDC15	1.40E-01	5.54E-02	1.945333	-4.64014	0.07801036	CCDC15	
SNORA42	1.40E-01	5.54E-02	1.945088	-4.64059	0.06136881	SNORA42	
LOC442448	1.40E-01	5.55E-02	1.944299	-4.64203	0.03837771	LOC442448	
HS.573253	1.40E-01	5.55E-02	1.944213	-4.64219	0.07084821	HS.573253	
FBXO22	1.40E-01	5.55E-02	-1.944034	-4.64252	-0.05540061	FBXO22	
KRTAP3-1	1.40E-01	5.55E-02	-1.943993	-4.64259	-0.02930967	KRTAP3-1	
HS.545671	1.40E-01	5.55E-02	1.943872	-4.64282	0.06359434	HS.545671	
LMNB1	1.40E-01	5.55E-02	-1.943829	-4.64289	-0.03043318	LMNB1	
SNX27	1.40E-01	5.56E-02	1.943723	-4.64309	0.10625394	SNX27	
NMS	1.40E-01	5.56E-02	1.943567	-4.64337	0.01956029	NMS	
COPG2	1.40E-01	5.56E-02	-1.943314	-4.64384	-0.15102948	COPG2	
CDRT15P	1.40E-01	5.56E-02	1.943192	-4.64406	0.02165104	CDRT15P	
SIRT2	1.40E-01	5.56E-02	1.943069	-4.64429	0.11793271	SIRT2	
LOC653680	1.40E-01	5.56E-02	1.943046	-4.64433	0.03983854	LOC653680	
TCP11	1.40E-01	5.57E-02	-1.94288	-4.64463	-0.02275635	TCP11	
HS.548787	1.40E-01	5.57E-02	-1.942872	-4.64465	-0.0330039	HS.548787	
UCK2	1.40E-01	5.57E-02	-1.942692	-4.64497	-0.05630145	UCK2	
LOC646145	1.40E-01	5.57E-02	1.942674	-4.64501	0.0451772	LOC646145	
C6ORF208	1.40E-01	5.57E-02	-1.942576	-4.64519	-0.03487231	C6ORF208	
LOC100134395	1.40E-01	5.57E-02	-1.942429	-4.64546	-0.02953839	LOC100134395	
ZNF589	1.40E-01	5.57E-02	-1.942426	-4.64546	-0.03758263	ZNF589	
POLR2J4	1.40E-01	5.57E-02	1.942391	-4.64553	0.0292447	POLR2J4	
TRAF4	1.40E-01	5.57E-02	1.942214	-4.64585	0.03024618	TRAF4	
FAM176B	1.40E-01	5.58E-02	1.942035	-4.64618	0.06174633	FAM176B	
LOC728606	1.40E-01	5.58E-02	1.941918	-4.64639	0.02711061	LOC728606	
HS.436661	1.41E-01	5.58E-02	1.941514	-4.64713	0.0285332	HS.436661	
FAM3A	1.41E-01	5.58E-02	1.941423	-4.6473	0.18380788	FAM3A	
NAT8	1.41E-01	5.58E-02	-1.941414	-4.64731	-0.02565464	NAT8	
TMEM213	1.41E-01	5.58E-02	-1.941404	-4.64733	-0.0230254	TMEM213	
C21ORF37	1.41E-01	5.58E-02	1.941393	-4.64735	0.06252423	C21ORF37	
SLC24A2	1.41E-01	5.59E-02	-1.941215	-4.64768	-0.15641821	SLC24A2	
MAGEA6	1.41E-01	5.59E-02	1.941017	-4.64804	0.0266022	MAGEA6	
LECT2	1.41E-01	5.59E-02	1.940965	-4.64813	0.02298931	LECT2	
CPNE8	1.41E-01	5.59E-02	-1.940906	-4.64824	-0.17126301	CPNE8	
LOC644224	1.41E-01	5.59E-02	-1.940756	-4.64852	-0.02428953	LOC644224	
PC	1.41E-01	5.60E-02	1.940427	-4.64912	0.14135125	PC	
USP47	1.41E-01	5.60E-02	1.940171	-4.64959	0.12170611	USP47	
LOC653656	1.41E-01	5.60E-02	1.94015	-4.64962	0.02628272	LOC653656	
LOC643451	1.41E-01	5.60E-02	-1.940129	-4.64966	-0.04335989	LOC643451	
HS.555260	1.41E-01	5.60E-02	-1.940016	-4.64987	-0.07845887	HS.555260	
LOC100132620	1.41E-01	5.60E-02	-1.939968	-4.64996	-0.02778404	LOC100132620	
C17ORF80	1.41E-01	5.60E-02	-1.939953	-4.64998	-0.12618101	C17ORF80	
ILF2	1.41E-01	5.60E-02	-1.939866	-4.65014	-0.14572956	ILF2	
LOC441016	1.41E-01	5.60E-02	1.939804	-4.65026	0.03327748	LOC441016	
UMODL1	1.41E-01	5.61E-02	-1.939559	-4.6507	-0.02726693	UMODL1	
SAMD4A	1.41E-01	5.61E-02	1.939525	-4.65077	0.0329548	SAMD4A	
DNASE2	1.41E-01	5.61E-02	1.939296	-4.65118	0.15134243	DNASE2	
ZNF267	1.41E-01	5.62E-02	1.938622	-4.65241	0.02932025	ZNF267	
C14ORF159	1.41E-01	5.62E-02	1.938538	-4.65257	0.11977419	C14ORF159	
MIR1200	1.41E-01	5.62E-02	1.938461	-4.65271	0.03013042	MIR1200	
LOC648900	1.41E-01	5.62E-02	1.93845	-4.65273	0.02226082	LOC648900	
OTOR	1.41E-01	5.62E-02	1.93829	-4.65302	0.02074408	OTOR	
LOC643161	1.41E-01	5.62E-02	1.938283	-4.65303	0.02467333	LOC643161	
LSM4	1.41E-01	5.62E-02	-1.93817	-4.65324	-0.11148963	LSM4	
MAN2B2	1.41E-01	5.63E-02	1.9381	-4.65337	0.09129969	MAN2B2	
LOC650346	1.41E-01	5.63E-02	1.93781	-4.6539	0.06811451	LOC650346	
KLK3	1.41E-01	5.63E-02	-1.937686	-4.65412	-0.02260538	KLK3	
FCGR1C	1.41E-01	5.63E-02	1.937601	-4.65428	0.11437511	FCGR1C	
KRTAP5-6	1.41E-01	5.63E-02	1.937566	-4.65434	0.02068693	KRTAP5-6	
BRD1	1.41E-01	5.63E-02	-1.937368	-4.6547	-0.05733069	BRD1	
LOC100128435	1.42E-01	5.64E-02	1.937257	-4.65491	0.01544381	LOC100128435	
HS.123511	1.42E-01	5.64E-02	1.937077	-4.65524	0.09840953	HS.123511	
TEP1	1.42E-01	5.64E-02	1.936944	-4.65548	0.0448101	TEP1	
C21ORF63	1.42E-01	5.64E-02	1.936745	-4.65584	0.10165347	C21ORF63	
ZNF34	1.42E-01	5.64E-02	1.93671	-4.65591	0.07926454	ZNF34	
LOC649661	1.42E-01	5.64E-02	1.936585	-4.65613	0.04688622	LOC649661	
MFF	1.42E-01	5.65E-02	-1.936139	-4.65695	-0.4804367	MFF	
KIAA1614	1.42E-01	5.65E-02	-1.936104	-4.65701	-0.02636589	KIAA1614	
C13ORF25	1.42E-01	5.65E-02	-1.935751	-4.65765	-0.02435394	C13ORF25	
IQCF1	1.42E-01	5.66E-02	-1.935348	-4.65839	-0.0202494	IQCF1	
ZNF434	1.42E-01	5.66E-02	1.935256	-4.65856	0.10763991	ZNF434	
ONECUT2	1.42E-01	5.66E-02	-1.935106	-4.65883	-0.03554372	ONECUT2	
MMGT1	1.42E-01	5.66E-02	-1.935037	-4.65896	-0.11491689	MMGT1	
CNP	1.42E-01	5.66E-02	1.935021	-4.65899	0.22622968	CNP	
LOC728244	1.42E-01	5.66E-02	1.934992	-4.65904	0.24688376	LOC728244	
LOC731718	1.42E-01	5.67E-02	1.934903	-4.6592	0.04738517	LOC731718	
DPF1	1.42E-01	5.67E-02	-1.934821	-4.65935	-0.13442567	DPF1	
LOC401805	1.42E-01	5.67E-02	-1.934745	-4.65949	-0.03723487	LOC401805	
LOC100134551	1.42E-01	5.67E-02	1.934727	-4.65952	0.01770822	LOC100134551	
MFSD3	1.42E-01	5.67E-02	-1.934562	-4.65982	-0.12944565	MFSD3	
IQCB1	1.42E-01	5.67E-02	-1.934519	-4.6599	-0.14869935	IQCB1	
GSTM1	1.42E-01	5.67E-02	1.934517	-4.65991	0.25995185	GSTM1	
PCNT	1.42E-01	5.68E-02	-1.933985	-4.66087	-0.14238606	PCNT	
LOC654101	1.42E-01	5.68E-02	1.933667	-4.66145	0.02754741	LOC654101	
RESP18	1.42E-01	5.68E-02	-1.933627	-4.66153	-0.05391068	RESP18	
PPIE	1.42E-01	5.68E-02	-1.933501	-4.66176	-0.06150947	PPIE	
HS.563373	1.42E-01	5.68E-02	-1.933453	-4.66184	-0.02439377	HS.563373	
LOC653853	1.42E-01	5.69E-02	1.933328	-4.66207	0.03150881	LOC653853	
HS.528873	1.42E-01	5.69E-02	1.93306	-4.66256	0.1080614	HS.528873	
COL10A1	1.42E-01	5.69E-02	-1.933058	-4.66256	-0.02453779	COL10A1	
LOC100133740	1.42E-01	5.69E-02	-1.933027	-4.66262	-0.06024584	LOC100133740	
GLTPD1	1.42E-01	5.69E-02	1.932979	-4.66271	0.09007334	GLTPD1	
RBM41	1.42E-01	5.69E-02	1.93297	-4.66272	0.0773123	RBM41	
LOC730083	1.43E-01	5.69E-02	-1.932688	-4.66324	-0.0400555	LOC730083	
LOC729992	1.43E-01	5.69E-02	1.932557	-4.66348	0.24342596	LOC729992	
CD33	1.43E-01	5.70E-02	1.932226	-4.66408	0.08557323	CD33	
KIF1B	1.43E-01	5.70E-02	1.932188	-4.66415	0.08000669	KIF1B	
OR11H1	1.43E-01	5.70E-02	1.932015	-4.66446	0.03507617	OR11H1	
HS.463996	1.43E-01	5.70E-02	-1.931907	-4.66466	-0.11114887	HS.463996	
LOC100130562	1.43E-01	5.70E-02	1.931789	-4.66487	0.0375581	LOC100130562	
ZNF436	1.43E-01	5.70E-02	-1.931787	-4.66488	-0.06927832	ZNF436	
ZNF224	1.43E-01	5.71E-02	1.931424	-4.66554	0.06904094	ZNF224	
PYGO2	1.43E-01	5.71E-02	-1.931394	-4.66559	-0.09918859	PYGO2	
GBP6	1.43E-01	5.71E-02	1.931333	-4.6657	0.02420048	GBP6	
CLEC10A	1.43E-01	5.71E-02	-1.931266	-4.66583	-0.01615776	CLEC10A	
BACH1	1.43E-01	5.71E-02	1.931252	-4.66585	0.01480881	BACH1	
SULF1	1.43E-01	5.71E-02	-1.931141	-4.66605	-0.15467197	SULF1	
FAM82A1	1.43E-01	5.71E-02	1.931033	-4.66625	0.0216442	FAM82A1	
POLD2	1.43E-01	5.71E-02	1.930979	-4.66635	0.11016735	POLD2	
PRB2	1.43E-01	5.72E-02	-1.930937	-4.66643	-0.03093038	PRB2	
FTL	1.43E-01	5.72E-02	1.930752	-4.66676	0.18927512	FTL	
UBTFL5	1.43E-01	5.72E-02	-1.930599	-4.66704	-0.02538207	UBTFL5	
FBXO30	1.43E-01	5.72E-02	1.930161	-4.66784	0.14965457	FBXO30	
HS.545650	1.43E-01	5.73E-02	-1.93007	-4.668	-0.02483657	HS.545650	
MBTPS2	1.43E-01	5.74E-02	-1.929134	-4.6697	-0.03379875	MBTPS2	
MUSK	1.44E-01	5.74E-02	1.928829	-4.67026	0.02717897	MUSK	
ALDH2	1.44E-01	5.74E-02	1.92879	-4.67033	0.18441539	ALDH2	
DDX59	1.44E-01	5.75E-02	1.927945	-4.67186	0.04074311	DDX59	
SLC22A3	1.44E-01	5.75E-02	1.927915	-4.67192	0.04513655	SLC22A3	
HINT3	1.44E-01	5.75E-02	-1.927905	-4.67194	-0.04474768	HINT3	
LOC651979	1.44E-01	5.75E-02	1.927827	-4.67208	0.05051055	LOC651979	
HSD17B4	1.44E-01	5.76E-02	1.927695	-4.67232	0.11812416	HSD17B4	
LOC389405	1.44E-01	5.76E-02	1.927669	-4.67237	0.02445205	LOC389405	
PDE4A	1.44E-01	5.76E-02	1.927517	-4.67264	0.0836688	PDE4A	
HS.12489	1.44E-01	5.76E-02	-1.927493	-4.67269	-0.06559369	HS.12489	
DGCR5	1.44E-01	5.76E-02	-1.92744	-4.67278	-0.1936042	DGCR5	
CRTC2	1.44E-01	5.76E-02	1.927052	-4.67349	0.09080703	CRTC2	
IGSF22	1.44E-01	5.77E-02	-1.926779	-4.67398	-0.02993133	IGSF22	
PCAF	1.44E-01	5.77E-02	1.926355	-4.67475	0.16124582	PCAF	
HNRNPU	1.44E-01	5.77E-02	1.926313	-4.67483	0.22168345	HNRNPU	
LOC645465	1.44E-01	5.78E-02	1.926182	-4.67507	0.03044344	LOC645465	
LOC642866	1.44E-01	5.78E-02	1.926095	-4.67523	0.02472968	LOC642866	
LOC729080	1.44E-01	5.78E-02	1.926073	-4.67527	0.0148064	LOC729080	
LOC728362	1.44E-01	5.78E-02	1.926018	-4.67537	0.07150052	LOC728362	
GFRA4	1.44E-01	5.78E-02	-1.925819	-4.67573	-0.05683999	GFRA4	
FCGR1A	1.44E-01	5.78E-02	1.925662	-4.67601	0.20149493	FCGR1A	
SPATA16	1.44E-01	5.78E-02	1.925631	-4.67607	0.02464757	SPATA16	
SSR3	1.44E-01	5.78E-02	1.925518	-4.67627	0.06731459	SSR3	
LOC641697	1.44E-01	5.78E-02	-1.925487	-4.67633	-0.02235933	LOC641697	
HS.543865	1.44E-01	5.79E-02	1.925376	-4.67653	0.05114426	HS.543865	
LOC650796	1.44E-01	5.79E-02	1.925341	-4.67659	0.02832198	LOC650796	
LOC442606	1.44E-01	5.79E-02	-1.925284	-4.6767	-0.02746036	LOC442606	
LOC415056	1.44E-01	5.79E-02	1.925199	-4.67685	0.03097474	LOC415056	
ZIC1	1.44E-01	5.79E-02	1.925182	-4.67688	0.03334466	ZIC1	
HS.147562	1.44E-01	5.79E-02	1.925124	-4.67699	0.04924198	HS.147562	
C11ORF2	1.44E-01	5.79E-02	1.924857	-4.67747	0.11724505	C11ORF2	
LOC644607	1.44E-01	5.79E-02	1.924843	-4.6775	0.04126822	LOC644607	
LOC644925	1.45E-01	5.80E-02	-1.92452	-4.67808	-0.02556324	LOC644925	
PWP2	1.45E-01	5.80E-02	1.924326	-4.67844	0.037593	PWP2	
LOC643125	1.45E-01	5.80E-02	-1.924107	-4.67883	-0.02133501	LOC643125	
FLJ44817	1.45E-01	5.80E-02	1.924071	-4.6789	0.02254516	FLJ44817	
HS.287137	1.45E-01	5.80E-02	1.924052	-4.67893	0.02994827	HS.287137	
LOC652763	1.45E-01	5.80E-02	1.923973	-4.67908	0.0252967	LOC652763	
ZNF707	1.45E-01	5.81E-02	-1.923832	-4.67933	-0.04509581	ZNF707	
HIP1	1.45E-01	5.81E-02	1.923608	-4.67974	0.11443337	HIP1	
CCDC7	1.45E-01	5.81E-02	-1.923592	-4.67977	-0.02019843	CCDC7	
CART1	1.45E-01	5.81E-02	1.923197	-4.68048	0.02667863	CART1	
SYF2	1.45E-01	5.82E-02	1.92291	-4.681	0.11173855	SYF2	
EDG7	1.45E-01	5.82E-02	1.922607	-4.68155	0.02100589	EDG7	
LOC100132742	1.45E-01	5.82E-02	1.922464	-4.68181	0.0919587	LOC100132742	
LOC100133691	1.45E-01	5.82E-02	1.922427	-4.68188	0.03991369	LOC100133691	
HS.583954	1.45E-01	5.82E-02	1.922313	-4.68209	0.02767897	HS.583954	
RNASE13	1.45E-01	5.83E-02	-1.921878	-4.68287	-0.04391871	RNASE13	
HSD17B13	1.45E-01	5.83E-02	-1.921822	-4.68298	-0.03577812	HSD17B13	
VSIG6	1.45E-01	5.84E-02	1.921428	-4.68369	0.02022635	VSIG6	
LOC646796	1.45E-01	5.84E-02	1.921377	-4.68378	0.0372528	LOC646796	
B3GNT7	1.45E-01	5.84E-02	-1.920883	-4.68468	-0.0235201	B3GNT7	
LCA5L	1.46E-01	5.85E-02	-1.920529	-4.68532	-0.02608393	LCA5L	
ABCB4	1.46E-01	5.85E-02	1.920195	-4.68592	0.02565913	ABCB4	NA
HS.573047	1.46E-01	5.85E-02	1.920102	-4.68609	0.06718487	HS.573047	
FLJ39827	1.46E-01	5.85E-02	1.920055	-4.68618	0.10845682	FLJ39827	
HPS4	1.46E-01	5.85E-02	-1.920003	-4.68627	-0.02102986	HPS4	
SPN	1.46E-01	5.86E-02	-1.919901	-4.68646	-0.03032662	SPN	
LOC642164	1.46E-01	5.86E-02	1.919704	-4.68681	0.02317192	LOC642164	
STAG3L4	1.46E-01	5.86E-02	-1.919534	-4.68712	-0.04582104	STAG3L4	
ZNF281	1.46E-01	5.86E-02	1.919264	-4.68761	0.14223584	ZNF281	
SFXN2	1.46E-01	5.86E-02	-1.91919	-4.68774	-0.03779611	SFXN2	
DALRD3	1.46E-01	5.86E-02	-1.919164	-4.68779	-0.01732336	DALRD3	
TPK1	1.46E-01	5.87E-02	-1.918745	-4.68855	-0.05925431	TPK1	
FAM118A	1.46E-01	5.87E-02	1.918597	-4.68882	0.12256271	FAM118A	
MIR542	1.46E-01	5.88E-02	1.918154	-4.68962	0.0277654	MIR542	
WNT2	1.46E-01	5.88E-02	-1.918142	-4.68964	-0.05078315	WNT2	
HS.308802	1.46E-01	5.88E-02	1.918085	-4.68974	0.02156431	HS.308802	
TTTY16	1.46E-01	5.88E-02	1.917925	-4.69003	0.09291222	TTTY16	
SPTLC2	1.46E-01	5.88E-02	1.917896	-4.69008	0.06764638	SPTLC2	
LOC644800	1.46E-01	5.88E-02	-1.917858	-4.69015	-0.02448797	LOC644800	
KRTAP19-1	1.46E-01	5.88E-02	-1.917751	-4.69034	-0.02272125	KRTAP19-1	
LOC727944	1.46E-01	5.89E-02	1.917544	-4.69072	0.03429275	LOC727944	
FLJ16124	1.46E-01	5.89E-02	-1.917527	-4.69075	-0.01961838	FLJ16124	
CXORF12	1.46E-01	5.89E-02	1.917475	-4.69084	0.06996812	CXORF12	
LOC647176	1.46E-01	5.89E-02	-1.917404	-4.69097	-0.03021117	LOC647176	
LOC388312	1.46E-01	5.89E-02	-1.917202	-4.69134	-0.05851051	LOC388312	
GPRIN3	1.46E-01	5.89E-02	1.916947	-4.6918	0.0358217	GPRIN3	
TRPA1	1.46E-01	5.89E-02	-1.916899	-4.69189	-0.02318654	TRPA1	
ZNF689	1.46E-01	5.89E-02	1.916871	-4.69194	0.08003586	ZNF689	
LOC653876	1.46E-01	5.90E-02	1.916767	-4.69212	0.02779142	LOC653876	
MED14	1.47E-01	5.90E-02	1.916184	-4.69318	0.08523586	MED14	
